id,name,ml_target,bio,most_common_language
14001,m-esm,0,Happy developer,JavaScript
14002,tavaresrafa,0,Software Engineer,JavaScript
14003,amiryeg,1,Embedded Systems Engineer,C
14005,BerndDoser,1,"Scientific Software Engineer, Creator of @BrainTwister",Python
14006,hakimkal,0,A programmer with great interest in intelligent systems.,JavaScript
14007,lsqboy,0,"Yeah, make a good App .",Java
14008,Unrooted,0,"half criminal, half maverick, all mercenary",Haskell
14009,ivanderbu2,0,"Laravel, Node & Vue Developer",JavaScript
14010,gabisurita,1,Stochastic coffee-code converter. (she/her),Python
14011,PabloRR100,1,NLP @ Apple | DL @ Harvard,Python
14012,flxwu,0,22 y/o | prev. youngest eng at Google  | currently learning about neural nets,JavaScript
14014,anandprabhakar0507,0,"I am Engineering student and a developer.

find more about me at
https://anandprabhakar0507.myportfolio.com/",JavaScript
14015,mengxin1995,1,拯救世界,Java
14016,terrifyzhao,1,"NLP
",Python
14017,huanent,0,(。・∀・)ノ Aloha !,C#
14018,coreygo,0,One ■ human being.,No languages detected
14019,paultag,0,"​@Debian developer, @hylang core, former @OpenSourceOrg director",Python
14020,bunchjesse,0,I'm an experienced engineering leader with a decade-long track record of shipping high-quality software and building high-performance teams.,Shell
14022,fachriza,0,We develop apps while you wait 👍,CSS
14023,mono0926,0,"Software Engineer (Flutter/Dart, Firebase/GCP, iOS/Swift, TypeScript)
",Swift
14024,mbilwar,0,"Specialized in .NET Technologies and iPhone and Android Mobile App Development, Static and Dynamic Responsive Websites.",JavaScript
14025,allthesignals,0,Developer for NYC Planning Labs,JavaScript
14026,suyashmahar,1,PhD Student @NVSL.,C++
14027,ZaidRehman,0,Developer,JavaScript
14028,SpirinEgor,1,DL guy,Jupyter Notebook
14029,stylemistake,0,Javascript expert. Bash ninja. Creator of TGUI at /tg/station 13.,JavaScript
14030,limenet,0,"run, ride, travel, hike",PHP
14031,GaoleMeng,0,"Undergraduate @umich CSE and @sjtu ECE
Front-end/ Back-end/ Deep learning/ IR.

Incoming SWE @google
",Python
14032,Akayeshmantha,0,Grüß Gott,JavaScript
14033,igmarin,0,Ruby Developer,Ruby
14034,otwm,0,web developer!,JavaScript
14036,alexdrone,0,"
    Technical Lead | Sr Software Engineer at Google.

Ex-Microsoft/Ex-Skype.
",Swift
14037,adammichaelwood,1,"Master's Student in Computer Science | Python Developer, Writer, Educator | Composer, Songwriter, Song Leader, Hymnist",HTML
14038,realzbc,0,FE,JavaScript
14039,mikkelkrogsholm,1,Kicking data science ass @ Teradata! Powering data driven insights @ Smukfest!,R
14040,hymns,0,Fullstack Developer,PHP
14041,alcidesjunior,0,"| Computer Technician.
| Web Developer (RoR).
| Undergraduate in Computer Engineering.
| iOS Software Engineer",HTML
14042,pmzgit,0,"a javer and jser

Self-discipline is liberty",Shell
14043,kristof,0,"Digital Product Designer at Soda, previously at DataCamp, TrendMiner, Joyn, Mobile Vikings and Yappa.",JavaScript
14044,kevincittadini,0,Backend Engineer & Software Consultant,Shell
14045,MKimiSH,1,Computer Vision/Graphics beginner,C++
14046,nguyen190887,0,"A .NET/Node developer, who like to research and investigate new technologies like Cloud, Microservices, AI, etc. and love reading books :)",HTML
14048,kyeongsoo,1,"Joseph is an educator and a researcher interested in communications/networking, smart grids, and deep learning.",Python
14049,smallmuou,0,"iOS Program Developer &
Command Line Cracker &
Project Manager
",Shell
14050,ludanfeng,1,终身成长，第三选择,Go
14051,forsaken1,0,"Teamlead, Senior Software Engineer",JavaScript
14053,pol,0,I am curious.,Python
14054,etnlbck,0,"A multi-disciplined Creative Dynamo, helping others become more creative, stupid, and generous. (🧱,🚀)",JavaScript
14055,kblicharski,0,"UIowa Class of 2020, MS in CSE",Python
14056,tedeh,0,Working as a consultant/dev via TEDEH LTD.,JavaScript
14057,fennifith,0,Enjoys writing software on loud keyboards. Starts too many projects. Consumes food.,Java
14059,WSAyan,0,Life doesn't give you seat belts. 😑,Kotlin
14060,EmAchieng,1,"""Always code as if the person who ends up maintaining, testing or using it is a violent human being who knows where you live.""

",Python
14061,simonwjackson,0,"🌟 Crafting engaging web experiences, one component at a time",JavaScript
14062,radekstepan,0,JavaScript Developer,JavaScript
14063,himanshukandwal,0,Contributor to Helix/Zookeeper - LinkedIn,Java
14066,kenesparta,0,Software Engineer,HTML
14067,donpark,0,Developer,JavaScript
14068,chaffeqa,0,Developer at @FinalForms,Ruby
14069,firoozye,1,Terminally quant....,Python
14070,CookiesChen,0,CSQ From SYSU,Go
14071,Aryal007,1,"Applied Scientist II, Microsoft. Ph.D. Computational Science - The University of Texas at El Paso. ",Python
14072,fnzhan,1,"Generative Models, Neural Rendering",Python
14073,frost1990,1,Ready when you are,Makefile
14074,haifengwang,0,I know nothing except the fact of my ignorance,HTML
14075,kicumkicum,0,"Developer, mentor, creator",JavaScript
14077,Jarvl,0,git push --force,CSS
14078,runawayhorse001,1,"Director, Data Science @ AMEX, IMA Data Science Fellow and PhD in Computational Mathematics.",Python
14080,pokle,0,"You know by doing. If you stop doing, you stop knowing.",Shell
14082,hkvision,1,Remold.,Python
14084,swoldemi,0,"On hiatus while positive for CNCF19
Something something GitHub detox",No languages detected
14086,lancexiang,1,Artificial Intelligence Engineer,Python
14087,tarsisazevedo,0,Programmer for fun and profit,Python
14088,levibe,0,Founder @momentumdash,JavaScript
14090,kabirvirji,0,👽,JavaScript
14092,allysonsouza,0,WordPress person. Former @HasteDesign co-founder.,JavaScript
14094,smiled0g,1,"⛳️ Chief Product Officer @bandprotocol
🤖 Co-Chief Intern @blockpipe",JavaScript
14096,sbishopwta,1,"☀️
     🌳",Objective-C
14097,rhamses,0,Web Engineer with a passion for problem-solving. Fascinated by the human experience and driven to understand the nuances.,JavaScript
14098,brunowego,0,"Hi. I'm Bruno, a founding engineer based in Goiás, Brazil. Some things that I love: automation, creating UI, scaling software, and working with users.",CoffeeScript
14099,52cik,0,这家伙很懒，什么都没留下。,JavaScript
14100,OctoberChang,1,"Applied Scientist, Amazon Search",Python
14101,Gregoirevda,0,@Gregoirevda,JavaScript
14102,FelixRilling,0,"Software Developer from Germany.
They/them or he/him.",JavaScript
14103,ericyue,0,search engine & sponsored ads,Python
14104,searls,0,"I catch bugs and make bugs and strive to catch more bugs than I make. I co-founded @testdouble, which is a really good software consultancy I think.",Ruby
14105,huoxingyun,1,火星云,Go
14106,edude03,0,Owner @ Melenion Inc.,Shell
14107,ShimmiChristo,0,"SFCC Developer.

SCSS, JS, JQuery, ISML",JavaScript
14108,shaomingquan,0,https://github.com/shaomingquan/articles/blob/master/README.md#%E6%AC%A2%E8%BF%8E,JavaScript
14109,VOREVER,0,Program Assistant at Microsoft Philanthropies TEALS Program which leaves me little time for dev anymore.,CSS
14110,hwen,0, hwencc,JavaScript
14111,hgryoo,1,"Open-source software developer interested in DBMS, 3D GIS and Geo-spatial intelligence",Shell
14112,ThomasBS,0,Team lead at @ordbogen,PHP
14113,Juntaran,0,wechat: Juntaran,Go
14114,fairlyxu,0,to be a lovely girl,Python
14115,mehta-a,1,"Enthusiastic about Data Analysis & Problem Solving

https://ankitamehta28.wordpress.com/ ",Python
14116,gabeta,0,FullStack developer,JavaScript
14117,philippearnaud,0,"Engineering Manager at Climb.

The languages I love : Ruby, Python and Elixir.
",JavaScript
14119,evansims,0,"FGA/SDKs Engineer @ Auth0/Okta. Passionate about FOSS and helping developers build more secure software. Mindfulness, minimalism, and metal. 🤘 he/him 🏳️‍🌈",PHP
14120,Hsankesara,1,Working at @RADAR-base in London | Deep learning Blogger,Python
14123,ruslanguns,0,"👨‍👩‍👧‍👦👨‍💻📺📸👨‍🏫🐶

❤Life is beautiful, do things you love
- Family Guy
- Software Developer
- Streamer
- Photographer
- Mentor
- Animals love",TypeScript
14124,duncanleung,0,Javascript Developer with a love for beautiful UI / UX.,JavaScript
14126,taichunmin,0,LINE 數位版名片的作者，LINE 官方認證 API Expert，如果有製作 LINE 聊天機器人的相關疑問，歡迎直接跟我聊聊喔！,JavaScript
14127,ButchersBoy,0,"Project owner & contributor to some of the biggest WPF projects, forWindows Development MVP.  On the web front  I enjoy ASP, Node, React etc.  @james_willock
m",C#
14129,DemoYolk,1,i am a demo,JavaScript
14130,AurelienLavorel,0,Devops Magento PHP,PHP
14131,henter,0,coding & creating,JavaScript
14132,abigaleypc,0,"Front-End Engineer. Like piano music and yoga.
",JavaScript
14133,fyeeme,0,"fyee combine with free and fly.
fyeeme means  freely flying for the purpose ",JavaScript
14134,salil-gtm,1,"ML @airbnb | Ex - @societe-generale

Data Science | Analytics ",Python
14135,mrusme,0,# rcctl start tor,Go
14136,danielmitd,0,Working as CTO @jobcloud.,Shell
14138,Abhishekmamidi123,1,Data Scientist at Swiggy | Blogger | YouTuber | IIIT SriCity,Python
14139,Dontcampy,0,Gamer,Java
14140,chenchau,1,Ph.D. candidate at Georgia Tech.,Python
14141,ashishpatel26,1,"AI Researcher & Chief Data Scientist at IBM
| Rank 3 Kaggle Kernel Master",Python
14142,mateusrodrigues,1,"Developer, engineer-to-be and technology enthusiast.",C#
14143,luisFilipePT,0,Staff engineer @ xgeeks by KI Group aka Enthusiastic Developer… Problem Solver 🛠️ by nature.,JavaScript
14144,nterms,0,"A web developer and highly passionate about research and development of web technologies around PHP, HTML, JavaScript and CSS.",JavaScript
14145,mzane42,1,"Developer for @Elmut, @roole-fr, @Tremplins & Alumni @42",JavaScript
14146,KempfCreative,0,An engineering leader who finds joy in excellent user experience. Pro lector! - For the users!.,JavaScript
14148,mohsen1,0,"♥ Open Source!
👨🏽‍💻Airbnb
https://twitter.com/mohsen____",JavaScript
14149,ryanmcgrath,0,"Privacy, Rust, Apple and everything in-between. Other tech stacks welcome too, as long as what we're building is cool.",Rust
14151,letian0805,1,just code it!,Shell
14152,LC-John,1,"Left brain has nothing right.
Right brain has nothing left.",Python
14153,Goamaral,0,Go and Rails Developer,Shell
14154,jennie,0,Generalist from way back.,JavaScript
14155,neroze,0,#JAVASCRIPT #REACTJS  #PHP #LARAVEL #VUEJS #NODEJS  #SQL #POUCHDB #MONOGODB #APPCELERATOR #ES5 #SWIFT#BACKBONEJS  #CSS,JavaScript
14157,hoegertn,0,Cloud Evangelist @taimos GmbH - AWS DevTools Hero,JavaScript
14158,jboxman,0,Technical writer and software developer. Passionate about learning and growing.,JavaScript
