id,name,ml_target,bio,most_common_language
10000,ratul0,0,Bazinga!,JavaScript
10001,ronenhamias,0,"Project lead  @scalecube.io, CTO at  https://exberry.io/",Java
10002,scriptnull,0,var self = this;,Shell
10003,firatyenidunya,1,"iOS developer, software engineer",Swift
10004,nickethier,0,Staff Engineer @ HashiCorp,Go
10005,rlvdx,0,Platform engineer @Evaneos,PHP
10006,Sikurity,1,"(11.03~18.02)Hanyang Univ.
(12.06~14.06)ROKAF DSMG
(17.07~17.10)Naver Corp.
(18.03~21.07)Samsung Electronics(SAIT).
(21.07~)Kakao Corp.",Python
10008,thousight,0,Meh,JavaScript
10009,LogansUA,0,Software Engineer,JavaScript
10011,omgannie,0,full stack,JavaScript
10012,RickCogley,0,"In Japan since 1987! 日本語もOK。♥ family life with Maru the Shiba, code, hiking, photos. Founder @ esolia.com. ",HTML
10013,jyzhang-bjtu,1,"focus on information theory, coding and coding theory",Python
10014,OTL,1,"roboticist, Synchrobo CEO
ex-Googler, ex-Toyota",Python
10016,lesterchan,0,"Blogger @lesterchan-net. Full Stack Manager @grab. Previously, Head of Engineering @techinasia. @WordPress Plugins Developer.",PHP
10018,kunalkamble,0,"Entrepreneur, Geek, IT Consultant",JavaScript
10019,ivanpp,1,Every Single Choice,Python
10020,argenisleon,0,Venezuelan in Mexico @argenisleon,Python
10021,marcosvlima,0,"""I used to be an adventurer like you. Then I took an arrow in the knee...""
now I'm a Site Reliability Engineer""",JavaScript
10022,ShawnBIT,1,"Computer Vision, Medical Image Analysis",Python
10023,15307130116,1,"I will get down to it at last.
Yes, I will.",Python
10024,kristijanbambir,0,Lead Developer @aboutyou,JavaScript
10025,digitarald,0,Team @microsoft VS Code.,JavaScript
10026,danielwaltz,0,Front-End Tech Lead and Principal Consultant at @moser-inc. Good commit messages are life itself! 💻 ☕️ 🎮 🎧,TypeScript
10027,Xin-Zheng,0,Demo or Die,JavaScript
10028,592692070,1,"Research interest: Computer Vision, Deep Learning",Python
10029,1033020837,1,一条渴望进步的咸鱼,Python
10030,frontend-3,0,This is a deprecated account. Find me as @nopito,HTML
10031,lulalachen,0,"Hello I'm lulalachen
",JavaScript
10032,HemingTai,0,https://HemingTai.github.io,Objective-C
10033,grodrigues3,1,"Machine Learning, Data Science and Kubernetes",Python
10034,qcoreteam,0,a opensource team from China,JavaScript
10035,gongshw,0,"擅长搜索、复制和粘贴代码, 精通制作各种多边形轮子。
Good at searching, copying and pasting code. Great at making polygon wheels.",JavaScript
10036,dotproto,0,Developer Advocate for Chrome Extensions. I'm rather fond of the open web.,JavaScript
10038,JohanMa4,0,Fullstack Developer with loves for Laravel Framework and ReactJS,PHP
10039,alexchicn,0,Independent Developer,CMake
10040,Yogurtla,1,精于心 简于形,Java
10041,quanshengwu,0,Searching for novel topological  materials,Python
10042,lucasltv,0,"Electrical Engineer and Full Stack Developer turning ☕  into </code>. Computer, network, and electronics nerd since 2000.",JavaScript
10043,krishna2nd,0,Research & Development,JavaScript
10044,gamingumar,0,Software Engineer | ReactJS | React Native | Nest JS | Laravel | Web | Mobile | gamingumar.com,JavaScript
10045,TracyNgot,0,👩🏿‍💻 CTO | Tech lead | Freelance | Occasional writer | Full-stack UI oriented who loves building modern applications that scale over time 💖,JavaScript
10046,JoyeBright,0,"PhD candidate / Lecturer in AI, an NLPer, working on NMT",Python
10047,igor-alexandrov,0,Co-founder and CTO at @jetrockets.,Ruby
10048,gangiman,1,"Free researcher.
Ex: Co-founder and CTO at Brask.ai, PhD from Skoltech, worked on holistic scene understanding with generative and probabilistic methods.",Python
10049,nocity,1,Hack everything.,Shell
10050,ScottONeal,0,"Husband, Father, Hobbyist Sawyer and Software Engineer. Trying to make a positive difference in this world. 🍻 ",JavaScript
10053,ashwin31,0,CEO of RunCode.io,Python
10054,lucasrafagnin,1,Senior Android Developer,Kotlin
10055,munizeverton,0,Software Engineer at Idea Maker,PHP
10056,hongyu315,1,Be the change you want to see in the world,Java
10057,coderkevin,0,"Coder, tinkerer.",JavaScript
10058,tarunbatra,0,"Coder, Opensource and Unix ideologue. Node.js is my favourite playtoy.",JavaScript
10060,nduas77,1,"keep your eyes open, concentrate and make sure you know exactly what it is you want. No one can hit their target with their eyes closed.",Python
10061,chrismetcalf,0,"""Specialization is for insects"" - Lazarus Long",JavaScript
10062,evisoft,0,Problem solver.,JavaScript
10063,fixe,0,"Technical Co-founder and former CTO of
@uphold.",JavaScript
10064,lemchen,0,coder,C#
10065,mattiasj,0,Design Systems @spotify.,HTML
10066,phraniiac,1,"PMC at @apache
",HTML
10067,carlos8f,0,"We are the Music Makers. We are the Dreamers of the Dream.

-- Arthur O'Shaughnessy",JavaScript
10068,iFiring,0,生命的意义在于磨练灵魂,Java
10069,IrinaMax,1,"Lead Principal Data Scientist, R and Python ML experimental practitioner. Statistical research, Economics, Deep learning.  WEKA + Big Data ML_WEKA",R
10070,Wbrta,1,a juruo who wants to be dalao,Java
10071,DylanPiercey,0,Don't break the web. 👾,JavaScript
10072,saylestyler,0,{{ current_profession }} in {{ current_city }} !!!!1111!,JavaScript
10073,4074,0,Add a bio?,JavaScript
10074,blueandhack,0,"I am a Full-Stack Developer
""Know it, then hack it.""
",JavaScript
10075,FabioLanzi,1,L'uomo con lo sguardo talmente magnetico che gli volano in faccia i tombini.,Python
10076,burkaydurdu,0,Computer Engineer,JavaScript
10077,linfaimom,0,"Talking is cheap, show me your wife.",Java
10078,Vishesh-Gupta,1,"Innovating solutions to world problems to make life easier for people working with daily tools
",C++
10079,KingJA,0,价值与影响,Java
